Perusahaan,Produk,Kalori,Kalori dari Lemak,Total Lemak,Lemak Jenuh (g),Lemak tak Jenuh (g),Kolestrol (mg),Sodium (mg),Karbohidrat (g),Serat (g),Gula (g),Protein (g),WW Poin
McDollops,Sweet ‘N Sour Sauce,50.0,0.0,0.0,0.0,0.0,0.0,150.0,12.0,0.0,10.0,0.0,60.0
McDollops,Chicken Selects® Premium Breast Strips (3 pc),400.0,210.0,24.0,3.5,0.0,50.0,1010.0,23.0,0.0,0.0,23.0,380.5
McDollops,Chicken Selects® Premium Breast Strips (5 pc),660.0,360.0,40.0,6.0,0.0,85.0,1680.0,39.0,0.0,0.0,38.0,628.0
McDollops,Spicy Buffalo Sauce,60.0,50.0,6.0,1.0,0.0,0.0,800.0,1.0,1.0,0.0,0.0,61.0
McDollops,Creamy Ranch Sauce,170.0,160.0,18.0,3.0,0.0,10.0,270.0,2.0,0.0,1.0,0.0,174.0
McDollops,Tangy Honey Mustard Sauce,60.0,20.0,2.0,0.0,0.0,5.0,140.0,10.0,0.0,8.0,0.0,68.0
McDollops,Southwestern Chipotle Barbeque Sauce,60.0,0.0,0.0,0.0,0.0,0.0,210.0,15.0,1.0,11.0,0.0,71.0
McDollops,Premium Southwest Salad with Grilled Chicken,320.0,80.0,9.0,3.0,0.0,70.0,960.0,30.0,6.0,11.0,30.0,304.0
McDollops,Premium Southwest Salad with Crispy Chicken,430.0,180.0,20.0,4.0,0.0,55.0,920.0,38.0,6.0,12.0,26.0,420.0
McDollops,Premium Southwest Salad (without chicken),140.0,40.0,4.5,2.0,0.0,10.0,150.0,20.0,6.0,6.0,6.0,142.0
McDollops,Premium Bacon Ranch Salad with Grilled Chicken,260.0,90.0,9.0,4.0,0.0,90.0,1010.0,12.0,3.0,5.0,33.0,236.0
McDollops,Premium Bacon Ranch Salad with Crispy Chicken,370.0,180.0,20.0,6.0,0.0,75.0,970.0,20.0,3.0,6.0,29.0,353.0
McDollops,Premium Bacon Ranch Salad (without chicken),140.0,70.0,7.0,3.5,0.0,25.0,300.0,10.0,3.0,4.0,9.0,138.5
McDollops,Premium Caesar Salad with Grilled Chicken,220.0,60.0,6.0,3.0,0.0,75.0,890.0,12.0,3.0,5.0,30.0,198.0
McDollops,Premium Caesar Salad with Crispy Chicken,330.0,150.0,17.0,4.5,0.0,60.0,840.0,20.0,3.0,6.0,26.0,314.5
McDollops,Premium Caesar Salad (without chicken),90.0,35.0,4.0,2.5,0.0,10.0,180.0,9.0,3.0,4.0,7.0,89.5
McDollops,Side Salad,20.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,2.0,1.0,21.0
McDollops,Butter Garlic Croutons,60.0,15.0,1.5,0.0,0.0,0.0,140.0,10.0,1.0,0.0,2.0,58.0
